State,Quantity Sold,,,,
AL,375,,,,
AK,41,,,,
AZ,1005,,,,
AR,141,,,,
CA,13113,,,,
CO,702,,,,
CT,844,,,,
DE,818,,,,
DC,190,,,,
FL,4484,,,,
GA,1318,,,,
HI,226,,,,
ID,84,,,,
IL,2732,,,,
IN,787,,,,
IA,322,,,,
KS,275,,,,
KY,397,,,,
LA,409,,,,
ME,109,,,,
MD,1344,,,,
MA,2189,,,,
MI,2209,,,,
MN,526,,,,
MS,132,,,,
MO,511,,,,
MT,41,,,,
NE,201,,,,
NV,541,,,,
NH,182,,,,
NJ,3371,,,,
NM,179,,,,
NY,12103,,,,
NC,998,,,,
ND,49,,,,
OH,1386,,,,
OK,296,,,,
OR,5396,,,,
PA,2396,,,,
RI,261,,,,
SC,420,,,,
SD,50,,,,
TN,564,,,,
TX,4455,,,,
UT,310,,,,
VT,55,,,,
VA,1453,,,,
WA,1362,,,,
WV,141,,,,
WI,630,,,,
WY,39,,,,
