State,Mean Sale Price
AL,352
AK,333.4634146
AZ,350.2302143
AR,343.6241135
CA,373.7813739
CO,358.2094017
CT,343.3542762
DE,389.7114914
DC,341.8421053
FL,359.2082751
GA,344.8826697
HI,383.0840708
ID,341.0119048
IL,346.3293966
IN,351.4517192
IA,366.1118012
KS,349.48
KY,401.6775819
LA,336.1418093
ME,321.8348624
MD,352.5097487
MA,352.9780679
MI,355.6121722
MN,359.0057034
MS,337.1047629
MO,358.6105675
MT,353.3658537
NE,343.4349129
NV,378.9537893
NH,344.3021978
NJ,357.4507398
NM,350.3798883
NY,360.6137362
NC,344.314722
ND,343.848051
OH,348.8975469
OK,358.1797345
OR,368.3631365
PA,350.2350615
RI,347.8799544
SC,347.0690476
SD,366.92
TN,351.6117021
TX,349.9135885
UT,361.5419355
VT,363.9272727
VA,364.1702142
WA,361.7256939
WV,336.893617
WI,354.6174603
WY,337.2051282
